Subject,Type,Value,Attribute
Elizabeth Claggett,name,"Fear",
Elizabeth Claggett,name,"Fear",
Elizabeth Claggett,name,"Tor- ment",
Elizabeth Claggett,name,"Fear",
Elizabeth Claggett,name,"Torment",
Elizabeth Claggett,name,"Love",
Elizabeth Claggett,name,"Sacrament",
Elizabeth Claggett,name,"Sacrament",
Elizabeth Claggett,name,"Sinful Nature",
Elizabeth Claggett,placeName,"St Lawrances Church",#mlpla000359
Elizabeth Claggett,name,"Sacrament",
Elizabeth Claggett,name,"Service",
Elizabeth Claggett,name,"dubious",
Elizabeth Claggett,name,"Sacrament",
Elizabeth Claggett,name,"I was quite stund & thus I went directly out of the Church home, & then to my chamber, where I fell prostrate, & silently pourd forth Streams of Tears. I went on in a disconsolate Solitary way conversing but little with any one",
Elizabeth Claggett,name,"stund",
Elizabeth Claggett,name,"Streams of Tears",
Elizabeth Claggett,name,"disconsolate",
Elizabeth Claggett,name,"Solitary",
Elizabeth Claggett,name,"Consolation",
Elizabeth Claggett,name,"Passion Week",
Elizabeth Claggett,name,"enjoid",
Elizabeth Claggett,name,"serenity of mind",
Elizabeth Claggett,name,"wearied",
Elizabeth Claggett,name,"Grace",
Elizabeth Claggett,name,"Mercy",
Elizabeth Claggett,name,"hopeing",
Elizabeth Claggett,name,"desire",
Elizabeth Claggett,name,"Sacrament",
Elizabeth Claggett,name,"Scruples",
Elizabeth Claggett,name,"stillness",
Elizabeth Claggett,name,"composure",
Elizabeth Claggett,name,"enjoyd",
Elizabeth Claggett,name,"Easter",
Elizabeth Claggett,name,"calm bowedness of Heart",
Elizabeth Claggett,name,"Sacrament",
Elizabeth Claggett,name,"awe",
Elizabeth Claggett,name,"trembled greatly",
Elizabeth Claggett,name,"Love, Peace & Joy",
Elizabeth Claggett,name,"so chearful",
Elizabeth Claggett,name,"lightsome",
Elizabeth Claggett,name,"happy",
Elizabeth Claggett,name,"not very agre- able",
Elizabeth Claggett,name,"so passionate",
Elizabeth Claggett,name,"loved",
Elizabeth Claggett,name,"long'd",
Elizabeth Claggett,name,"Heart was in such a desolveing condition",
Elizabeth Claggett,name,"Tears",
Elizabeth Claggett,name,"Wept",
Elizabeth Claggett,name,"Heart would be singing",
Elizabeth Claggett,name,"Times of Hea- viness",
Elizabeth Claggett,name,"doubting",
Elizabeth Claggett,name,"relief",
Elizabeth Claggett,name,"desire",
Elizabeth Claggett,persName,"Whitefield",#mlper000366
Elizabeth Claggett,placeName,"England",#mlpla000072
Elizabeth Claggett,name,"great Reluctance",
Elizabeth Claggett,placeName,"Broadoaks in Essex",#mlpla000118
Elizabeth Claggett,name,"our Savr presented himself to my Heart in his bleeding Wounded Form, & brought me into such a converse with his own dear person, as I had never known before, then it was that my heart went over to Him,",
Elizabeth Claggett,name,"heart went over to Him",
Elizabeth Claggett,name,"pleasing",
Elizabeth Claggett,name,"blest",
Elizabeth Claggett,name,"Comfort",
Elizabeth Claggett,name,"Consolation",
Elizabeth Claggett,name,"bitter",
Elizabeth Claggett,name,"Passion",
Elizabeth Claggett,name,"rejoicd",
Elizabeth Claggett,placeName,"London",#mlpla000054
Elizabeth Claggett,name,"Grace",
Elizabeth Claggett,placeName,"Lambs-Inn",#mlpla000048
Elizabeth Claggett,name,"I returnd to London",
Elizabeth Claggett,placeName,"London",#mlpla000054
Elizabeth Claggett,placeName,"London",#mlpla000054
Elizabeth Claggett,name,"what we felt at that time I suppose will by no Body be forgot who was there till beyond the Grave",
Elizabeth Claggett,name,"I was rec'd (viz)",
Elizabeth Claggett,name,"Sacrament",
Elizabeth Claggett,placeName,"London",#mlpla000054
Elizabeth Claggett,name,"I was sent by the Congn  into Yorkshire",
Elizabeth Claggett,placeName,"Yorkshire",#mlpla000054
Elizabeth Claggett,name,"blest",
Elizabeth Claggett,name,"blessing",
Elizabeth Claggett,persName,"Mammagen",#mlper000213
Elizabeth Claggett,persName,"Anna Johanna",#mlper000341
Elizabeth Claggett,placeName,"Germany",#mlpla000139
Elizabeth Claggett,name,"satisfac tion of my Heart",
Elizabeth Claggett,name,"satisfied",
Elizabeth Claggett,name,"friendly",
Elizabeth Claggett,name,"cheard",
Elizabeth Claggett,name,"absolation",
Elizabeth Claggett,name,"comforted",
Elizabeth Claggett,name,"contented Heart",
Elizabeth Claggett,name,"wish'd",
Elizabeth Claggett,name,"desirious",
Elizabeth Claggett,placeName,"little-moor",#mlpla000052
Elizabeth Claggett,name,"hopeing",
Elizabeth Claggett,persName,"dear Mammagen",#mlper000213
Elizabeth Claggett,name,"not quite satisfied",
Elizabeth Claggett,name,"most loving & kind manner",
Elizabeth Claggett,name,"like",
Elizabeth Claggett,placeName,"Duckenfield",#mlpla000035
Elizabeth Claggett,name,"heart was never easey",
Elizabeth Claggett,name,"blessed",
Elizabeth Claggett,name,"I arrived there",
Elizabeth Claggett,placeName,"there",#mlpla000035
Elizabeth Claggett,placeName,"Lambs-Hill",#mlpla000048
Elizabeth Claggett,name,"chearful & contented",
Elizabeth Claggett,name,"Thanks",
Elizabeth Claggett,name,"compasion",
Elizabeth Claggett,name,"kindness",
Elizabeth Claggett,persName,"Elizabeth Clagett",#mlper000228
Elizabeth Claggett,name,"happily",
Elizabeth Claggett,name,"regretted",
Elizabeth Claggett,name,"comfort",
Elizabeth Claggett,name,"blessed",
Elizabeth Claggett,name,"affectionate",
Elizabeth Claggett,name,"concern",
Elizabeth Claggett,name,"painful Circumstances",
Elizabeth Claggett,name,"happy",
Elizabeth Claggett,name,"esteem'd",
Elizabeth Claggett,name,"consolatory",
Elizabeth Claggett,name,"beloved",
Elizabeth Claggett,name,"beloved",
Elizabeth Claggett,name,"enjoy'd",
Elizabeth Claggett,name,"Sabattic season",
Elizabeth Claggett,name,"Grace",
Elizabeth Claggett,name,"rejoicing",
Elizabeth Claggett,name,"charmd",
Elizabeth Claggett,name,"captivated",
Elizabeth Claggett,name,"happy condition",
Elizabeth Claggett,name,"happy",
Elizabeth Claggett,name,"humiliation",
Elizabeth Claggett,name,"high Spirit",
Elizabeth Claggett,name,"Grace",
Elizabeth Claggett,name,"spirit",
Elizabeth Claggett,name,"regret",
Elizabeth Claggett,name,"untir'd",
Elizabeth Claggett,name,"hurtful",
Elizabeth Claggett,name,"Joyful",
Elizabeth Claggett,name,"Love",
Elizabeth Claggett,name,"comfort",
Elizabeth Claggett,name,"amaz'd",
Elizabeth Claggett,name,"Guilt",
Elizabeth Claggett,name,"serious",
Elizabeth Claggett,name,"Childlike",
Elizabeth Claggett,name,"trust",
Elizabeth Claggett,name,"hearty",
Elizabeth Claggett,name,"Sympathize",
Elizabeth Claggett,name,"deep recesses of those Hearts",
Elizabeth Claggett,name,"pleasure",
Elizabeth Claggett,name,"lively spirit",
Elizabeth Claggett,name,"happily",
Elizabeth Claggett,name,"admiration",
Elizabeth Claggett,name,"humiliation",
Elizabeth Claggett,name,"gratitude",
Elizabeth Claggett,name,"Love",
Elizabeth Claggett,name,"thankfulness",
Elizabeth Claggett,name,"love",
Elizabeth Claggett,name,"thank",
Elizabeth Claggett,name,"love",
Elizabeth Claggett,name,"thank",
Elizabeth Claggett,name,"tenderly",
Elizabeth Claggett,name,"warmest kisses",
Elizabeth Claggett,name,"earnestly",
Elizabeth Claggett,name,"happy",
Elizabeth Claggett,name,"Blessedly",
Elizabeth Claggett,name,"Blessing",
